name	intensity-avg	volume
Left-wm-bankssts	99.8718	2453.1
Left-wm-caudalanteriorcingulate	105.6507	2581.5
Left-wm-caudalmiddlefrontal	98.5357	5942.4
Left-wm-cuneus	88.8447	2671.0
Left-wm-entorhinal	76.1232	871.3
Left-wm-fusiform	89.7634	5836.5
Left-wm-inferiorparietal	95.8486	8735.4
Left-wm-inferiortemporal	90.8349	6435.1
Left-wm-isthmuscingulate	98.1897	2972.7
Left-wm-lateraloccipital	92.5773	9582.3
Left-wm-lateralorbitofrontal	97.4909	6003.3
Left-wm-lingual	81.5832	4887.6
Left-wm-medialorbitofrontal	94.6736	3216.7
Left-wm-middletemporal	89.2232	3778.7
Left-wm-parahippocampal	82.1003	1283.6
Left-wm-paracentral	94.3109	3905.7
Left-wm-parsopercularis	95.3286	3535.1
Left-wm-parsorbitalis	84.2303	792.8
Left-wm-parstriangularis	94.1835	3039.4
Left-wm-pericalcarine	85.778	2704.4
Left-wm-postcentral	90.0245	6140.5
Left-wm-posteriorcingulate	101.4254	3743.0
Left-wm-precentral	95.16	11983.6
Left-wm-precuneus	95.8238	6769.5
Left-wm-rostralanteriorcingulate	99.3903	2261.1
Left-wm-rostralmiddlefrontal	95.4638	10407.5
Left-wm-superiorfrontal	93.0203	17018.9
Left-wm-superiorparietal	97.1328	12250.5
Left-wm-superiortemporal	93.0168	6039.0
Left-wm-supramarginal	96.9227	6449.9
Left-wm-frontalpole	84.4302	287.4
Left-wm-temporalpole	76.6431	691.4
Left-wm-transversetemporal	92.3105	779.5
Left-wm-insula	91.7062	7949.1
Right-wm-bankssts	95.4909	1775.8
Right-wm-caudalanteriorcingulate	104.9133	2183.7
Right-wm-caudalmiddlefrontal	94.7925	5383.6
Right-wm-cuneus	90.9829	2257.9
Right-wm-entorhinal	73.9375	686.2
Right-wm-fusiform	88.1195	5852.0
Right-wm-inferiorparietal	96.3675	10492.0
Right-wm-inferiortemporal	91.2543	5318.6
Right-wm-isthmuscingulate	98.116	2719.2
Right-wm-lateraloccipital	93.139	10048.0
Right-wm-lateralorbitofrontal	96.8811	5452.8
Right-wm-lingual	83.312	5072.0
Right-wm-medialorbitofrontal	90.9256	3640.1
Right-wm-middletemporal	92.2089	4837.5
Right-wm-parahippocampal	82.5711	1423.3
Right-wm-paracentral	97.1069	4235.5
Right-wm-parsopercularis	96.7439	2885.0
Right-wm-parsorbitalis	88.5783	990.6
Right-wm-parstriangularis	94.6271	2696.9
Right-wm-pericalcarine	89.3927	3080.9
Right-wm-postcentral	90.5202	5656.0
Right-wm-posteriorcingulate	102.0829	3495.1
Right-wm-precentral	94.5236	11343.5
Right-wm-precuneus	97.139	7728.6
Right-wm-rostralanteriorcingulate	105.5967	1533.4
Right-wm-rostralmiddlefrontal	95.9149	11248.9
Right-wm-superiorfrontal	93.0831	17243.1
Right-wm-superiorparietal	96.445	12488.4
Right-wm-superiortemporal	91.4165	5413.5
Right-wm-supramarginal	96.2665	7363.0
Right-wm-frontalpole	84.0712	452.4
Right-wm-temporalpole	73.8423	764.7
Right-wm-transversetemporal	90.2061	465.7
Right-wm-insula	92.1018	7771.7
Left-UnsegmentedWhiteMatter	99.8517	25398.8
Right-UnsegmentedWhiteMatter	100.5744	23243.9
